Gene stable ID version	Transcript stable ID version
ENSG00000226463.1	ENST00000421027.1
ENSG00000236927.4	ENST00000420495.4
ENSG00000272835.3	ENST00000607293.3
ENSG00000281038.1	ENST00000626074.1
ENSG00000262315.4	ENST00000627176.1
ENSG00000261897.1	ENST00000575738.1
ENSG00000273397.4	ENST00000605927.3
ENSG00000262851.2	ENST00000573647.2
ENSG00000275037.5	ENST00000615875.4
ENSG00000276731.1	ENST00000613410.1
ENSG00000262611.4	ENST00000626711.1
ENSG00000278114.4	ENST00000627975.2
ENSG00000262784.2	ENST00000576733.2
ENSG00000276561.4	ENST00000612534.4
ENSG00000276177.1	ENST00000621304.1
ENSG00000263328.2	ENST00000574800.2
ENSG00000262796.1	ENST00000574644.1
ENSG00000278821.4	ENST00000617376.1
ENSG00000276798.4	ENST00000619832.1
ENSG00000276468.5	ENST00000621698.4
ENSG00000277709.1	ENST00000617195.1
ENSG00000277131.4	ENST00000611357.4
ENSG00000234495.7	ENST00000437160.6
ENSG00000274394.1	ENST00000613587.1
ENSG00000274803.4	ENST00000611966.3
ENSG00000276875.1	ENST00000620235.1
ENSG00000276536.4	ENST00000610977.3
ENSG00000225351.4	ENST00000426120.2
ENSG00000275522.4	ENST00000616631.1
ENSG00000233054.3	ENST00000420178.3
ENSG00000261893.5	ENST00000574445.5
ENSG00000278361.4	ENST00000617666.4
ENSG00000273859.4	ENST00000622100.4
ENSG00000272000.6	ENST00000607223.6
ENSG00000275921.5	ENST00000622218.2
ENSG00000276145.1	ENST00000611088.1
ENSG00000273494.3	ENST00000615291.3
ENSG00000277025.4	ENST00000618378.4
ENSG00000275349.4	ENST00000629122.2
ENSG00000262785.5	ENST00000572740.1
ENSG00000275333.4	ENST00000622189.4
ENSG00000275658.5	ENST00000615091.4
ENSG00000275555.2	ENST00000616526.2
ENSG00000261846.2	ENST00000570799.1
ENSG00000276082.4	ENST00000620419.4
ENSG00000275581.4	ENST00000614527.4
ENSG00000263290.5	ENST00000570831.5
ENSG00000273944.1	ENST00000621849.1
ENSG00000274672.4	ENST00000614734.4
ENSG00000274513.4	ENST00000618392.4
ENSG00000276429.3	ENST00000620687.1
ENSG00000273572.4	ENST00000633633.1
ENSG00000273529.2	ENST00000612705.2
ENSG00000276387.4	ENST00000621135.1
ENSG00000276163.4	ENST00000616413.4
ENSG00000276065.4	ENST00000614662.4
ENSG00000276016.4	ENST00000625740.2
ENSG00000235915.8	ENST00000438335.5
ENSG00000226271.1	ENST00000428081.1
ENSG00000277175.5	ENST00000610345.4
ENSG00000274473.2	ENST00000622382.2
ENSG00000282367.1	ENST00000633628.1
ENSG00000277629.4	ENST00000612403.4
ENSG00000281758.1	ENST00000629040.1
ENSG00000231179.9	ENST00000451603.6
ENSG00000274873.1	ENST00000616323.1
ENSG00000278501.2	ENST00000613269.2
ENSG00000281300.1	ENST00000627182.1
ENSG00000275935.1	ENST00000621927.1
ENSG00000262446.5	ENST00000574670.5
ENSG00000274763.1	ENST00000611663.1
ENSG00000275838.5	ENST00000618237.4
ENSG00000262217.3	ENST00000572861.3
ENSG00000275623.5	ENST00000617790.4
ENSG00000262139.9	ENST00000570509.4
ENSG00000275125.4	ENST00000616280.4
ENSG00000237703.8	ENST00000449208.6
ENSG00000276979.5	ENST00000619868.4
ENSG00000276572.1	ENST00000614210.1
ENSG00000276848.4	ENST00000614511.4
ENSG00000236967.8	ENST00000450015.2
ENSG00000231350.5	ENST00000430305.2
ENSG00000228978.2	ENST00000445232.2
ENSG00000263324.5	ENST00000575670.1
ENSG00000278300.4	ENST00000616541.4
ENSG00000278216.3	ENST00000611042.3
ENSG00000232289.8	ENST00000435232.5
ENSG00000276363.4	ENST00000617862.4
ENSG00000278384.1	ENST00000612565.1
ENSG00000273943.4	ENST00000613752.4
ENSG00000278355.4	ENST00000612621.4
ENSG00000276452.4	ENST00000619118.1
ENSG00000275190.3	ENST00000615213.3
ENSG00000278426.1	ENST00000617592.1
ENSG00000275323.3	ENST00000618751.3
ENSG00000274889.1	ENST00000622245.1
